lat_SPC,lon_SPC,measured_elevation
463054.999,2597917.029,267.519
463018.152,2598043.19,264.566
463054.999,2597917.029,9.747
463018.152,2598043.19,6.964
463049.039,2597987.673,6.956
463033.526,2598008.143,6.402
463019.655,2598026.716,6.289
463003.4,2598048.948,5.376
462992.515,2598061.812,0.984
462987.882,2598067.446,0.687
462984.009,2598072.61,0.484
462980.283,2598077.725,0.349
462976.331,2598082.972,0.026
462972.714,2598087.771,-0.36
462968.592,2598093.046,-0.841
462965.501,2598097.244,-1.357
462961.782,2598101.115,-1.782
462957.9,2598105.717,-2.088
462955.094,2598109.264,-2.287
462951.743,2598112.649,-2.316
462950.499,2598114.661,-1.553
462948.869,2598116.785,0.053
462948.114,2598119.159,0.744
462946.914,2598120.729,1.671
462945.871,2598122.215,2.194
462943.034,2598129.403,5.834
462940.698,2598132.32,7.885
462938.501,2598138.356,8.454
462929.711,2598151.799,9.154
462923.465,2598160.507,8.7
462916.493,2598170.588,8.796
462913.04,2598175.015,9.699
462907.511,2598181.98,13.022
462982.451,2598127.908,7.173
462822.839,2597966.233,3.833
462797.941,2598048.323,9.274
462996.696,2598109.121,8.442
463003.045,2598048.276,5.398
463063.757,2598030.741,7.354
463133.044,2598228.731,4.784
